symbol,funded_by_address,newly_funded_addresses,funded_volume,rank
DAI,0xf4684eb75659bec9c3c3b19f075a6fd5aba34b87,2961,14415205.880312242,88
DAI,0x7cfdeb2def0fa6810eda0ac17c2a4e2f9e12db4f,2940,45.95368869027134,89
DAI,0xa88800cd213da5ae406ce248380802bd53b47647,2928,288501003.83885115,90
DAI,0x9509665d015bfe3c77aa5ad6ca20c8afa1d98989,2923,3217672.1683629705,91
DAI,0x1111111254eeb25477b68fb85ed929f73a960582,2894,612429855.851245,92
DAI,0x0d0707963952f2fba59dd06f2b425ace40b492fe,2887,21842612.285427134,93
DAI,0xfeca40ab00cdef18a23b2591077c9ff6dbb9d996,2870,970505.0888679,94
DAI,0x300d2d6c85fd11d965fee308a243626cdae3ff48,2860,2860.0,95
DAI,0x60a26d69263ef43e9a68964ba141263f19d71d51,2821,1919919.0436495866,96
DAI,0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,2809,7768175.6408604905,97
DAI,0xf1da173228fcf015f43f3ea15abbb51f0d8f1123,2782,55987469.86712578,98
DAI,0x0a2311594059b468c9897338b027c8782398b481,2781,1466024.5017152,99
DAI,0x974caa59e49682cda0ad2bbe82983419a2ecc400,2760,22995181.12143382,100
FRAX,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,4182,196977468.70255896,1
FRAX,0xec8c342bc3e07f05b9a782bc34e7f04fb9b44502,2298,8189216.898446288,2
FRAX,0xfd0a40bc83c5fae4203dec7e5929b446b07d1c76,2168,11504316.460091557,3
FRAX,0xc2a856c3aff2110c1171b8f942256d40e980c726,1917,23989558.05937594,4
FRAX,0x97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d,1822,39464469.92023784,5
FRAX,0x74de5d4fcbf63e00296fd95d33236b9794016631,1382,8462733.259021299,6
FRAX,0xd632f22692fac7611d2aa1c0d552930d43caed3b,1307,448192339.9543405,7
