symbol,address,outgoing_volume,rank
USDC,0xbddbcbaa9cf9603b7055aad963506ede71692f12,2461831294.363736,52
USDC,0xa5aa69f4a9f403ea32611b4da4da3f5afa985a0c,2451003696.775343,53
USDC,0x425f837bdce5beb0b09e4e45f06eb8efb4fd9be0,2350738337.600033,54
USDC,0x556b9306565093c855aea9ae92a594704c2cd59e,2322596058.0780168,55
USDC,0xb1256d6b31e4ae87da1d56e5890c66be7f1c038e,2266841113.1575937,56
USDC,0x916f992df86795f24de6c268cfb9031fbb1155da,2218919213.961911,57
USDC,0x76801132a22801640284cd67f7dd41fed2926b6a,2197424170.5634217,58
USDC,0x555ce236c0220695b68341bc48c68d52210cc35b,2188191301.678656,59
USDC,0x2c3c320d49019d4f9a92352e947c7e5acfe47d68,2159661598.6222496,60
USDC,0xafecdd2fc04f0939d7b6835529677608470c063d,2127448510.346793,61
USDC,0x5b620eabc2aba77d2bc4092f6d1fad6515872c34,2120268100.8295913,62
USDC,0x625b02b687ec38f3085af5b108dda410775fa76a,2086602538.002419,63
USDC,0x3efebc418efb585248a0d2140cfb87afcc2c63dd,2055913130.415839,64
USDC,0x3ce759d5f0cbd6269400aa675947dd738cf620d5,2038654840.3255334,65
USDC,0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,2011396676.358137,66
USDC,0xb3f0c9ea1f05e312093fdb031e789a756659b0ac,1983658862.6506863,67
USDC,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,1970178949.8541002,68
USDC,0x08bed6851cadc4efc91147e3ca63c39406b31a2d,1962184919.4181428,69
USDC,0xe37e799d5077682fa0a244d46e5649f71457bd09,1934206376.0401537,70
USDC,0x802b65b5d9016621e66003aed0b16615093f328b,1929511717.2019072,71
USDC,0x144d395b5562c742259932d2ee6e1d8d092a21b8,1909546714.5088263,72
USDC,0x7a4dd0c1f43dc15c13feeda348a99646e08a9209,1848427758.266856,73
USDC,0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,1808346954.7576847,74
USDC,0x91e4b339d9add120f12e3884e007d8713cd5b70f,1794112964.302385,75
USDC,0xf157a4799be445e3808592edd7e7f72150a7b050,1769884344.0516353,76
USDC,0xe71cab44917bf40b072b47138a76006558cb29c6,1759508463.5826938,77
USDC,0x903d12bf2c57a29f32365917c706ce0e1a84cce3,1739281536.5180063,78
USDC,0x1e40450f8e21bb68490d7d91ab422888fb3d60f1,1737974225.1129181,79
USDC,0xa306981cf12c8f32c2fe556cf9709f6304dfeec8,1709707023.297811,80
USDC,0x309fcdd159c15e6305f1b02489a14e870e4df052,1707257053.0700426,81
USDC,0xb4c0a71bfa5a5a4b1a096a7addb5025eafada122,1699582286.9964468,82
USDC,0x6ce5363c935bfd37caad75e21807bead51177ef4,1650641201.0,83
USDC,0x8a37394a7403bddeb73c97bbdbc92d05d0189183,1623164619.1015906,84
USDC,0xba8db0caf781cac69b6acf6c848ac148264cc05d,1616885740.5146623,85
USDC,0x1111111254eeb25477b68fb85ed929f73a960582,1570899640.148845,86
USDC,0x3d90f66b534dd8482b181e24655a9e8265316be9,1563468444.7606637,87
USDC,0xda7c852df594b79e1e8d8004d0bb822587e47725,1554770967.409204,88
USDC,0xd317b5480faf6ef228c502d9c4d0c04599c5b74b,1540109531.395915,89
USDC,0xd99c7f6c65857ac913a8f880a4cb84032ab2fc5b,1534139063.3519504,90
USDC,0x3156020dff8d99af1ddc523ebdfb1ad2018554a0,1529651308.2174308,91
USDC,0x7a59bf07d529a5fdbab67d597d63d7d5a83e61e5,1528915591.3947306,92
USDC,0xf8009616c6be7976e19e17c2dacd63028149e7cd,1505359813.883208,93
USDC,0x1b3771a66ee31180906972580ade9b81afc5fcdc,1504587632.6958838,94
USDC,0x00901a076785e0906d1028c7d6372d247bec7d61,1487742142.835562,95
USDC,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,1483382925.6194575,96
