month,symbol,token_volume,transfer_count,active_addresses,newly_adopted_addresses,genius_qualifying_transfer_volume,average_transfer_size,volume_per_active_address,transfers_per_active_address
2022-11-01,ETH,75732791.02302067,14013979,5761072,2695341,75732791.02302067,5.404089090116424,13.145607453442809,2.4325297444642247
2022-12-01,ETH,38351898.338465884,14961021,6335675,2232707,38351898.338465884,2.5634546157288254,6.053324758366848,2.3613933795530864
2023-01-01,ETH,37506988.592569135,14327513,4973564,1976336,37506988.592569135,2.6178296674774706,7.541269920839288,2.880733614768001
2023-02-01,ETH,35376743.31065062,13346290,4581669,2043437,35376743.31065062,2.650679950057328,7.721366015452146,2.912975599066628
2023-03-01,ETH,51773712.03474937,16412446,5615013,2419602,51773712.03474937,3.154539672803759,9.220586316496394,2.9229577919053793
2023-04-01,ETH,41358220.39998997,15291226,5185346,2331075,41358220.39998997,2.7047027099063197,7.975980850649112,2.9489306981636325
2023-05-01,ETH,43591951.73503037,17760002,5161090,2492575,43591951.73503037,2.454501510474513,8.446268469457104,3.441133946511299
2023-06-01,ETH,44572963.5297957,16665818,6054996,2687035,44572963.5297957,2.6745139980405224,7.361353092519912,2.752407763770612
2023-07-01,ETH,31315617.012264084,16552146,5355084,2596420,31315617.012264084,1.8919369737473366,5.8478292800382,3.0909218230750444
2023-08-01,ETH,32704489.353116535,16447683,5124917,2324885,32704489.353116535,1.9883949218328523,6.381467124856175,3.2093559759114147
2023-09-01,ETH,31393392.228994254,16545235,6370992,2416095,31393392.228994254,1.897428004437184,4.927551663696055,2.596963706750848
2023-10-01,ETH,35342139.52715701,15726288,5184026,2305730,35342139.52715701,2.247328773780374,6.817508154310377,3.0336051555296986
2023-11-01,ETH,42106157.087822974,15985945,4953905,2293622,42106157.087822974,2.6339485771922133,8.499589129751776,3.2269381427379007
2023-12-01,ETH,45712674.1738184,17978213,6040761,2787005,45712674.1738184,2.5426706299351554,7.567370100194065,2.9761503558905904
2024-01-01,ETH,48332435.59696128,18161678,6433216,2974707,48332435.59696128,2.6612318309443257,7.512950847128603,2.8231102453267543
2024-02-01,ETH,43352079.23226793,17765074,6342139,2817607,43352079.23226793,2.4402982634504045,6.835561193513408,2.801117099451778
2024-03-01,ETH,53761070.548390344,21566212,8190496,3965770,53761070.548390344,2.4928378960751356,6.563835761398375,2.633077654881951
2024-04-01,ETH,41074842.91878262,20099209,7352740,3397980,41074842.91878262,2.043604945785808,5.586331478983702,2.733567214398986
2024-05-01,ETH,38108193.46129122,19662054,7222055,3551298,38108193.46129122,1.938159332757972,5.276641269180478,2.7225012825296955
2024-06-01,ETH,29716281.8993453,19261323,7290260,3264041,29716281.8993453,1.5427954714920311,4.076162153249034,2.6420625601830388
2024-07-01,ETH,42347751.93800785,19274983,6827488,2816354,42347751.93800785,2.1970318696523803,6.20253773247318,2.8231441783566664
2024-08-01,ETH,43768860.23775596,18897992,6552660,3131686,43768860.23775596,2.3160587769195775,6.679556124956272,2.884018398635058
2024-09-01,ETH,39264884.382960446,17873900,5173262,2577756,39264884.382960446,2.196772074531045,7.589966327427539,3.455054083864301
2024-10-01,ETH,45513942.91866366,19298642,5700178,2865856,45513942.91866366,2.358401327858388,7.984652921130473,3.385620940258357
2024-11-01,ETH,61699998.911956556,20476880,6653092,3224949,61699998.911956556,3.013154294597446,9.273883318005607,3.0777990143530256
2024-12-01,ETH,63270089.52851443,22009340,7764999,3607282,63270089.52851443,2.8746927226584,8.148113029829679,2.8344292124184434
2025-01-01,ETH,53565444.93731898,21667246,7363925,3739115,53565444.93731898,2.472185202370388,7.2740345586516675,2.942350173311108
2025-02-01,ETH,63861721.37666954,19692456,6721172,3240967,63861721.37666954,3.242953615164586,9.501575227753365,2.929914009044851
2025-03-01,ETH,55666264.42184893,20230536,6310422,3233656,55666264.42184893,2.7515961229029684,8.821322000628316,3.2058927279348355
2025-04-01,ETH,55377682.535901204,20253362,6430125,3370278,55377682.535901204,2.7342464197253378,8.61222488457086,3.149761785346319
2025-05-01,ETH,60221985.305583194,24090029,6585977,3508390,60221985.305583194,2.499871847625555,9.143971396435669,3.6577760596491604
2025-06-01,ETH,57414883.26966217,24197605,6802592,3864607,57414883.26966217,2.372750661466793,8.440148000888804,3.5571154348224914
2025-07-01,ETH,74800936.07212102,27385383,7880632,3857151,74800936.07212102,2.731418292456272,9.491743310957931,3.475023703682649
2025-08-01,ETH,82439631.20307691,30723216,8922392,4057506,82439631.20307691,2.6833008368354703,9.239633408067805,3.4433833438387373
2025-09-01,ETH,60583851.3898544,26338922,8129938,4135340,60583851.3898544,2.3001644254785525,7.451945068935877,3.239744509736729
2025-10-01,ETH,64194989.04375856,33064834,7887785,4240045,64194989.04375856,1.9414883209079037,8.138531798693622,4.191903557209026
2025-11-01,ETH,61897388.997120544,26515825,7052044,3737880,61897388.997120544,2.334356520950057,8.777226715704064,3.7600197900069823
2025-12-01,ETH,51920769.9809953,26466051,8014249,4138344,51920769.9809953,1.9617875738618995,6.4785571275605855,3.302374433337422
2026-01-01,ETH,53142795.18418776,38211600,12475632,8661286,53142795.18418776,1.390750326711987,4.259727698299193,3.06289893770512
2026-02-01,ETH,65934627.75804885,36484460,11119400,7613420,65934627.75804885,1.8071975783127625,5.929692947285721,3.28115365937011
